text,normalized_text,lable_x,result
@ashieldsss i have no ideaaaa ugh   just a littttle tiny hint before you take it!,hav no ideaaa ugh littttl tiny hint bef tak ,1,0
"I changed my mind Sylar's not my favorite, Hiro is. ",chang mind syl  not favorit  hiro ,0,1
@islandchic Good god!! Keep sniffing then.. ,good god   keep sniff ,0,1
@brittneycamargo Yep. I wanted to go to both too  but I think we'll see each other at Warped. You're going to Ventura right?,yep  want go think wil see oth warp  ar going ventur right ,1,0
@gregcundiff yah it was our grand reopening or some such nonsense. it was fun....i babysat my frieds. ,yah wa grand reop som nonsens  wa fun  i babys fri ,1,0
@Samira_R passing out on a table and wakin up 2 a guy singin 2 me while every1 was laughin at me ..durin Kareoke night!  and..,pass tabl wakin  guy singin  whil every wa laughin  durin kareok night  ,1,0
@x3Hannahx3   i don't know  me is boring !!,not know bor  ,0,1
Everyone gets to lay out by the pool except for me   working till 7. Come visit,everyon get lay pool exceiv work til  com visit,1,0
@shiftin around 6.30 I'd have thought..for a good few hours. ,around  would hav thought  good hour ,0,1
Todays the day! Countdown is over!  don't worry i'll have another one soon lol,today day  countdown ov  not worry wil hav anoth soon lol,1,0
"@Hfashionista thats cuz people need to watch their carbon footprint.. soon, it will be snowing still in June.. ",cuz peopl nee watch carbon footprint  soon  wil snow stil june ,1,0
"@shaneheadboy you follow a lot of brazilian girl, why don't you follow me too? ",follow lot brazil girl  not follow ,1,0
summer workout!  ,sum workout ,1,0
Oh yaay Princess Bride is on! As you wiiissshh!!  makes my heart smile. What a loser. ,oh yaay princess brid  wiiissshh   mak heart smil  los ,0,1
"Wow, I never realized there was so many spam profiles on twitter.... Another reason to hate ",wow  nev real ther many spam profil twit   anoth reason hat,0,1
@LM4U16 yeah u kinda disappeared haha. how u doing Eli? ,yeah u kind disappear hah  u el ,0,1
@saudarilee sini dah ada h1n1 still want to come? hhehe pukulan shopping and makan cannot beat the swine flu eh ,sin dah ad hn stil want com  hheh puk shop mak not beat swin flu eh,0,1
"I will go to Kurume, Japan in July via language exchange program - I am So excited!!!  -&gt; lotta work to do *sigh*",wil go kurum  jap july via langu exchang program  excit     amp gt  lott work sigh,0,1
Just find out the Boyle didn&quot;t win the game !!!  xoxo!!!,find boyl amp quot  win gam    xoxo   ,1,0
Studying for diplomas  enough procrastination.,study diploma enough procrastin ,0,1
"@proletariatof1 That is, assuming we are dealing with judges who are sociopaths ", assum ar deal judg ar sociopath,0,1
@scitadel oh well   Its great to see the canadian math trades getting bigger though.,oh wel gre see canad math trad get big though ,1,0
At the office now - back into super lurk mode .. glad today's stage is .. well ... relatively flat , back sup lurk mod  glad today  stag  wel  rel flat,0,1
Sorry to all who got an invite from me lastnight - I clicked something unintentionally that allowed Twitter to access my contact book ,sorry al got invit lastnight  click someth unint allow twit access contact book,1,0
@astroengine I haven't decided. i have phone calls to make 2mr. sorta pissed right now about that lol blip powering me on! ,hav not decid  hav phon cal mak mr  sort piss right lol blip pow ,0,1
My foot - sometimesyouleave: Go to bed  http://tumblr.com/x261z1cdm,foot  sometimesyouleav  go bed,0,1
@ciaobella6 lol ur funny hun!!!! now i think he's following me cuz someone told him 2 not cuz he wants 2 ,lol ur funny hun     think follow cuz someon told  not cuz want ,1,0
@officialpeta  You guys do such great work... shame you made fools out of yourselves with the fly thing... ,guy gre work  sham mad fool yourselv fly thing ,1,0
@Jill_C  oh totally!! both your tweets to Chris were Freakin hilarious!! You kill me ,oh tot   yo tweet chris wer freakin hil   kil,0,1
was wierd2 2day without the girls can't wait 2 talk 2 u about what happened ,wierd day without girl not wait  talk  u hap,0,1
@janaebella awesome...what sort of tours?...are you trying to say you cant hang out with me in h town and let me show you around??? ,awesom  sort tour   ar try say cant hang h town let show around   ,1,0
this is daisy of love... not i love liquor! ,thi daisy lov  not lov liqu ,0,1
I want to go to wal-mart.... just cuhz ,want go walmart   cuhz,0,1
in direct studyyyyyyyyyyyyyyyyyyyyyyyy ,direct studyyyyyyyyyyyyyyyyyyyyyyyy,0,1
On break.. There are 3 little kittens meowing. I just want to pet them ,break  ther ar  littl kit meow  want pet,1,0
"ugh...your kinda really annoying me right now! damn, ii wanna punch you!!! but ii won't ",ugh  yo kind real annoy right  damn  ii wan na punch    ii wil not,0,1
@cookiefriend i'm with you - i finally get a break from this conf. call!!  only to start up again at 1.. , fin get break thi conf  cal   start  ,1,0
@SamsonNDelilah ya it sucked. oh well. ,ya suck  oh wel ,0,1
@Kaceyfish ,,1,0
@Mr_Marty lol - that makes me feel wanted! ,lol  mak feel want ,1,0
"@nikkig8783 wouldn't even cross my mind to put the TV on, on a Sunday morning. ",would not ev cross mind put tv  sunday morn ,0,1
3 days till Germany - packing. Don't you hate it when you can't fit all your stuff in your suitcase? , day til germany  pack  not hat not fit al yo stuff yo suitcas ,1,0
"Goood! it's been a long, long time that I don't tweet ",goood  long  long tim not tweet,0,1
"@emmajell He fed them, watered them, and made little origami birds with them. Then he slept for 12 hours ",fed  wat  mad littl origam bird  slept  hour,0,1
@fraggierocks Long time no speak  When is baby frags due hun?,long tim no speak baby frag due hun ,0,1
Less then a month...Really?   *Bre-toe*,le mon  real  bretoe,1,0
nothing on today  ,noth today,0,1
"@Taylorgotbeats I know  sorry, ermm nah nothing new except the weathers warming up over here lol; i just really need to get mre organized",know sorry  erm nah noth new exceiv weath warm ov lol  real nee get mre org,1,0
Taking Garrett for 3 month pics tomorrow.  What appeared today?  Baby ZIT on his chin!  ,tak garret  mon pic tomorrow  appear today  baby zit chin ,1,0
"@aewsome I want this prize- Dinner with us at Gladys &amp; Ron's Chicken and Waffles, followed by drinks at the Clermont Lounge. ",want thi prize din us glady amp amp  ron  chick waffl  follow drink clermont loung ,0,1
"@mathemagenic good luck  I wish I could attend your defense,but I have to save days off 4 the school vacation... see you later, I hope",good luck wish could attend yo defens  hav sav day  school vac  see lat  hop,0,1
tomorrow is chest and tri's maybe some shoulders ,tomorrow chest tri  mayb som,0,1
http://twitpic.com/6ednl - That should be her next headshot , next headshot,1,0
can't understand why i'm so tired....maybe because its gloomy outside....idk ,not understand tir  maybe becaus gloom outsid  idk,0,1
@SupathickMami sorry to hear dat gurl! dats not too coo ,sorry hear dat gurl  dat not coo,1,0
hmmm... at office in the weekend... got to finish off some work ,hmmm  weekend  got fin som work,0,1
I just got an iPod touch  going outside for a while,got ipod touch going outsid whil,0,1
"@avalanchelynn and i'm talking about the neighbourhood bakeries, not even like bengawan solo-kinda of bakeries.  nobody likes custard ar?",talk neighbo bakery  not ev lik bengaw solokinda bakery  nobody lik custard ar ,1,0
soooooo @dreana hasn't tweeted me all day  ....,soooooo ha not tweet al day  ,1,0
"@bexxi Hm, exactly no weekend   (3.-7.8.)  It's a bus tour (Avanti).",hm  exact no weekend     bus tour  avant  ,1,0
need some cup of noodles... college life ,nee som cup noodl  colleg lif,0,1
@ThreeFingerMark es ist jetzt 12:16 und der perverse ist in der Bibliothek ,es ist jetzt    und der pervers ist der bibliothek,0,1
I had Jewish cheesecake that I have not had since I was a kid. I need that recipe.   Shabbat just started at sundown. Shalom Shabbat.,jew cheesecak hav not sint kid  nee recip  shab start sundown  shalom shab ,0,1
given up on homework ,giv homework,0,1
@meg_001 New moon... hoping that eclipse will not going to be on next november... ,new moon  hop eclips wil not going next novemb ,0,1
On the phone to a depressed little girl  love her to bits though  xxxxx,phon depress littl girl lov bit though xxxxx,0,1
"oooh man,cant sleep...again. and i miss you and i want you here with me, falling asleep 2gether &lt;3 fingers crossed for mondaaay! ",oooh man  cant sleep   miss want  fal asleep gether amp lt   fing cross mondaaay ,0,1
@doucefeline @WhatASaviour7 @alisawoodard6 @SWantowski @AnitaLea1 @florsunny @redrobin741 @1bramant @LinsonVarughese @blupony3 @bishopdawkins @middlebrookdepe @Ccangelsing @sheila_freda @Blessttt @JackCouch11 @LisaHarlow10 @Jesus_YaHWeH_ @ahmedaniyal @ToddTrotter3 @BelieveAllCom @One_Of_His @endtimeslife @reeves5150 @Sharonrenee15 @JoAnnEileen @Cherami1Sherrie @GregPettys @trinitysfaith @L_Bramant @bailog_cherisse @FlashG_86 @smrutimishra7 @vinodgnair73 @ReginahHope @Twisty58 @doswell_vee @radioshowccc @notjudgin @nhiscare57 @nadiaforjesus @WheatSuzanne @FREEBetsyB @elliesangelwing @mcinnes003 Lord Jesus in Your Powerful Name please remove this mountain of depression off Kieth now and forever that this captive may be set free from this stronghold by the mighty tools of God (2Cor. 10:4-6) THANKYOU Jesus 4 Ur tenderloving care and mercy that endures forever! Amen!,lord jes yo pow nam pleas remov thi mountain depress kie forev thi capt may set fre thi stronghold mighty tool god  cor      thankyou jes  ur tenderlov car mercy end forev  ,1,0
"Dear God.  Please make it rain tomorrow.  Thunderstorms would also be appreciated if possible, but they're not essential. Thank you ",dear god  pleas mak rain tomorrow  thunderstorm would also apprecy poss  ar not ess  thank,0,1
@yessenia Missed you guys too.  Fill me in tomorrow on the message.,miss guy  fil tomorrow mess ,1,0
http://blogs.zdnet.com/weblife/?p=665 &lt;- Live: WordCamp 2009  I want to be there next year :x,amp lt   liv  wordcamp  want ther next year  x,0,1
@FearlessSon  Haven't they figured out yet that you wear a tie EVERYWHERE?,hav not fig yet wear tie everywh ,1,0
@thefalsetruths ZOMG PICS!!!!! and i want to rub ur head now ,zomg pic      want rub ur head,0,1
"@Anggi same here anggi... once you go to dentist, it's gonna be a never-ending treatments ",sam angg  ont go dent  gon na neverending tre,0,1
It was fun while it lasted..  No more 9.A ,wa fun whil lasted  no mor a,1,0
@mediagrowthinc first time seller you also. Better description and layout then me  I'm sorry it's not a product for me,first tim sel also  bet describ layout sorry not produc,0,1
@wendyperrin Count me in as one of the suscribers (although I am in the industry) ,count suscrib  although industry ,0,1
PS: I didn't like buenos aires and i want to fix my google latitude  soon soon,ps  not lik bueno air want fix googl latitud soon soon,0,1
@poohbear_taken aww how far is your boo?  &amp;nd thanks,aww far yo boo  amp amp  nd thank,1,0
Heidi and spencer are michigamua-esque ,heid spent ar michigamuaesque,1,0
finished the app  bout 2 get ready 4 my internship n the mornin then work afta dat...,fin ap bout  get ready  intern n mornin work aft dat ,0,1
Im still waiting for people to follow me    Medina and I Love Lucas and,im stil wait peopl follow medin lov luca,1,0
"@baughje our website, but I broke it back  I accidentally deleted a curly brace in some jQuery code.",websit  brok back accid delet cur brac som jquery cod ,0,1
@jarret - funny! no suffering! i can't even get into my journey through live with dmb as the soundtrack. people will think i've lost it. , funny  no suff  not ev get journey liv dmb soundtrack  peopl wil think hav lost ,0,1
@jswans Shhh..I have the equations in my calculator.... ,shhh  hav equ calc  ,0,1
Getting ready to watch the hills finale ,get ready watch hil fin,1,0
"im up and im fully awake! and it's 1:40pm...jeez I'm actually really lazy. not my fault tho, didnt get in til 5 ",im im ful awak    pm  jeez act real lazy  not fault tho  didnt get til ,0,1
Here in Germany the sun is rising and we watch the MTV Movie Awards   and we're going insane *g*,germany sun ris watch mtv movy award ar going ins g,0,1
@heartsthtgoboom  what oh! look who is climbing the age ladder..  happy bday! mucho love! tear shit up. xxxxxxxxxxxxxxxxxxxx,oh  look climb ag ladder  happy bday  mucho lov  tear shit  xxxxxxxxxxxxxxxxxxxx,0,1
"Don't drink coffee.  Never have.  So, how is it that I'm wide awake and the rest of America looks like their faces are about slide off? ",not drink coff  nev hav   wid awak rest americ look lik fac ar slid ,0,1
@thegoodcount haha.. yeah I try to forget that... I nearly did  ... I am good... living the london life...,haha  yeah try forget  near  good  liv london lif ,1,0
Just finished dying my hair  now i have to wait 30 minutes. ugh its like 12 30 am and i have to wake up at freaking 4 30 to shower and ...,fin dying hair hav wait  minut  ugh lik   hav wak freak   show ,0,1
No Work Till Monday ,no work til monday,0,1
"@brandscill what job interview? if you meant razzamatazz, it wasnt an interveiw ive just gotta hand in a cv tomorrow ",job interview  meant razzamatazz  wasnt interveiw iv got ta hand cv tomorrow,0,1
"@jmcpherson Wicked funny - I was thinking the same thing, I sure could use a break from the rain ",wick funny  wa think sam thing  sur could us break rain,1,0
my twitter is covered in cupcakes!  look at my profileee.,twit cov cupcak  look profil ,0,1
@TwilightKiera hey again =] haha i only have 72  follow me people!!! lol!! thanks 2 all my followers! i love u  lol,hey  ] hah hav  follow peopl    lol   thank  al follow  lov u lol,1,0
beach  still have to get ez pass,beach stil hav get ez pass,0,1
@buberzionist ok objection sustained ,ok object sustain,0,1
"loved yesterday, and is now thinking shopping again tonight hahaa, just gotta get past english, serious cba  x",lov yesterday  think shop tonight haha  got ta get past engl  sery cba x,1,0
"ehh false alarm, not going out at all ",ehh fals alarm  not going al,0,1
I didnt know you went on an interview. ,didnt know went interview ,1,0
"Until tomorrow people, bye ",tomorrow peopl  bye,0,1
Woke up to a txt from my boss saying were not working in the rain  back to bed for me.,wok txt boss say wer not work rain back bed ,0,1
is spending this beautiful Saturday at work  ,spend thi beauty saturday work,0,1
@contactabe Okay aside from that I can't think of anything else ,okay asid not think anyth els,1,0
Good morning twitter  I need more followers,good morn twit nee mor follow,0,1
"last day of #JavaOneConf, can someone pls extend it ",last day  javaoneconf  someon pls extend,1,0
"Strawberry harvest continues but is winding down. Harvest of lettuce is between plantings. Rain stopped haymaking yesterday, darn, ",strawberry harvest continu wind  harvest lettuc plant  rain stop haymak yesterday  darn ,0,1
WHOA! @leolaporte blows up at Mike Arrington on camera: http://bit.ly/EmMEI (Very Strong Language!) Somebody was bound to eventually. , blow mik arrington camer   strong langu   somebody bound ev ,0,1
@rikkisixx Don't see ears or paws ,not see ear paw,1,0
Getting my hair greeesed up lol ,get hair greees lol,0,1
"@maggit  i'll visit ny 'til september, no diggnation for me",wil visit ny  til septemb  no diggn,1,0
@siamusic  as long as you have someone to make out with    lol,long hav someon mak lol,1,0
sitting at home watching cheaters    and waiting on chris to call,sit hom watch che wait chris cal,1,0
@The8thDoctor possibly... but i have no way of connecting. i have no cable thing and no wirelessy thing. but when i has loan moneys... ,poss  hav no way connect  hav no cabl thing no wirelessy thing  loan money ,0,1
Fixing 7 xbox's with red rings  http://tinyurl.com/geteverything360,fix  xbox  red ring,1,0
Designing a public space  snif snif,design publ spac snif snif,1,0
@kashleyk1 likes shitty bands like lorene drive  also! Saw @missashleeeyyy !! Yay!,lik shitty band lik lor driv also  saw   yay ,1,0
"@_dznr Cuz you DMed it to me. Haha, Im kidding! No coffee and pepsi for me. ",cuz dmed  hah  im kid  no coff peps ,0,1
played better 1st 18 hole than fell apart 2nd 18th hole cuz tire.. I guess ,play bet st  hol fel apart nd th hol cuz tire  guess,1,0
@ludovicah Books are heavy. KINDLE IS WIN ,book ar heavy  kindl win,0,1
"#BIGGUP to vegas!!! What happens in u, sometimes makes it way onto myspace.      lol but really :-D", biggup veg    hap u  sometim mak way onto myspac  lol real  d,1,0
"@kimbobb nope, no time for it ",nop  no tim,1,0
@QueenofScots67 phew ,phew,0,1
@skyenat oh...  oh well it depends on my results then... and my ability to work it well. -.-,oh  oh wel depend result  abl work wel  ,1,0
I need a drink ,nee drink,0,1
@_hayles Aww  don't! You'll jinx it. what time is it there? haha me..a  dirty minx? neveeeeeeeeeeer. xxx,aww not  wil jinx  tim ther  hah  dirty minx  nev  xxx,1,0
I want the PSP Go! Right now ,want psp go  right,0,1
"@itsandre13 Actually it's &quot;for one second.&quot; The tweet was too long, so I had to write '4' for 'for.' ",act amp quot  second  amp quot  tweet wa long  writ      ,1,0
" https://goo.gl/ZZuQAK It doesn't matter where you live, what your gender is, or how old you are—sliding into a pair of running shoes may be your best first step to warding off depression.<Emoji: Man running><Emoji: Man running><Emoji: Man running>#TXG #Compressopn #Socks #Health #Care #Exrtcise #Prevent #Depression",doe not mat wher liv  yo gend  old  sliding pair run sho may yo best first step ward depression  emoj  man run   emoj  man run   emoj  man run   txg  compressopn  sock  heal  car  exrtc  prev  depress,1,0
Just spent an hour re-factoring code to get round a problem which turned out not to be the problem. ,spent hour refactoring cod get round problem turn not problem ,1,0
@officialnjonas I luv u guys Good luck!.!.!  I luv u so much!,luv u guy good luck      luv u much ,0,1
meganandliz = amazing. pictures of them are starting to take over my bedroom walls ,meganandl  amaz  pict ar start tak ov bedroom wal,0,1
@sassyback it is... and such a waste of money that could be better spent on other things... , wast money could bet spent oth thing ,0,1
Anyone know any good game websites? Haha I'm bored at work ,anyon know good gam websit  hah bor work,0,1
i think I'll be out hn a minute.. ,think wil hn minute ,0,1
@zeatres i need one too. shunjimatsuo? ,nee  shunjimatsuo ,0,1
shopping @ tesco ,shop tesco,1,0
Is just Gobsmacked how good the glasto line up is and how sunny it is in faltown !!! ,gobsmack good glasto lin sunny faltown   ,0,1
miss may 24th SOOO MUUCH! the best day E-V-E-R.. de verdade ,miss may th sooo muuch  best day ever  de verdad,1,0
wish i could see Hey Monday again! ,wish could see hey monday ,0,1
one more day ,mor day,1,0
"Lost my favorite pen, Why God WHY!??? ",lost favorit pen  god    ,0,1
"@chinupcheerup Your new horse is named Tonka? That's awesome! Also, sorry I never called yesterday ",yo new hors nam tonk  awesom  also  sorry nev cal yesterday,1,0
fun night in davis! 5 hours of sleep and clean up  now back to reality,fun night dav   hour sleep cle back real,1,0
@LuvinMeSomeD I got 2 yrs. I am in school as well for them. So I get extra ,got  yr  school wel  get extr,0,1
Campaign for The Bulgariangreens ended with concert and more Bluetooth  and NOW TIME TO VOTE and make a difference,campaign bulgariangreen end concert mor bluetoo tim vot mak diff,0,1
@rayonRichards: @CortneyGift  ,,1,0
@mikebaronowski what! Don't tell me you don't like it  what flavour do you eat?, not tel not lik flavo eat ,1,0
@ilyily Hola babe! I fxckin miss you! ,hol bab  fxckin miss ,1,0
figuring out our new taxes.... we are getting owned. ,fig new tax   ar get ,1,0
Just sneaked in a jelly donut ,sneak jel donut,1,0
@zefrog Not for me... ,not ,0,1
I'm waiting for company ,wait company,0,1
nuttin much just going to summer school this summer ,nuttin much going sum school thi sum,1,0
aaaawwww    we still love u though! @officialTila,aaaawwww stil lov u though ,1,0
@ardeming yeah okay i give you teaching can only be so much fun. But more fun than what I used to do everyday. Customer Service ,yeah okay giv teach much fun  mor fun us everyday  custom serv,1,0
"@shawnieora some pretties up for auction for type 1 #diabetes research, author Brenda Novak puts together every year...take a peek! ",som pretty auct typ   diabet research  auth brend novak put togeth every year  tak peek ,0,1
Wooooo! Weather advisory in Denver. Might have to land in Colorado Springs. Love travel delays ,wooooo  weath adv denv  might hav land colorado springs  lov travel delay,0,1
 something/someone should cheer me up,somethingsomeone che,1,0
"Jonas Brothers wer AMAZINGG!!Cant believe that we found their hotel and they had alredy left  wanted a picture n autograph,but it was cool",jona broth wer amazing   cant believ found hotel alredy left want pict n autograph  wa cool,1,0
@passwordreset Welcome to the Twitterverse!  Great handle BTW.  I can commiserate as @Micaiah was taken as well.  ,welcom twittervers  gre handl btw  com wa tak wel ,1,0
@LaylaNatalie  thanks,thank,1,0
"@MichaelinMI I'm sorry   Living in MI kinda sucks these days, hopefully you'll find something soon...",sorry liv mi kind suck thes day  hop wil find someth soon ,1,0
"@Angelfan Praying for you to warm up too!!!  It wasn't bad tempwise here today, but if you are cold today-it must be headed my way!!  ",pray warm    wa not bad tempw today  ar cold todayit must head way  ,1,0
@grandoglwiki It is.  But I try to look on the bright side.  But I'll be moping until 12:01 am Tuesday morning.   That's my allowance. , try look bright sid  wil mop    tuesday morn  allow ,0,1
Omaha bound! ,omah bound ,0,1
"@Mister_Reavis aww!  but BK, that must be incredible. never been to NY, i hear it's insane there. in a good way, of course, hahhaa.",aww  bk  must incred  nev ny  hear ins ther  good way  cours  hahha ,1,0
@SunnyNici I know!   We went out last night so I had today off work.  Hubby &amp;son went out early. I woke at 9am (to coffee) and then read! ,know  went last night today work  hubby amp amp  son went ear  wok am  coff  read ,0,1
"@JPhilipson lol i recommend you a lot, i have no idea who it might be   amber maybe?",lol recommend lot  hav no ide might amb mayb ,1,0
"Ok, i am officially a ball of hyperness at this moment in time. i suggest you back away slowly.       ",ok  bal hyp thi mom tim  suggest back away slow ,0,1
anyone wanna grab a coffee at westfield this morning? who's out and about? ,anyon wan na grab coff westfield thi morn  ,0,1
@maandyMADNESS Chispea ! ,chispe ,1,0
"@iero_xxi its okay, l'oreal are shit. im allergic to them  the bastards! hahahaha",okay  l  ore ar shit  im allerg bastard  hahahah,1,0
I'm beginning to think warm weather and outdoor play with my kids will seriously impact my time surfing the web! ,begin think warm weath outdo play kid wil sery impact tim surf web ,0,1
@iamjonathancook WHY?  p.s. I can't wait til July 7th when FTSK D3LUX3 3D1T10N COMES OUTTTT!!!  â¥, ps  not wait til july th ftsk dlux dtn com outtt    ,1,0
"@Naughty_Dog would love to, but being in the UK kinda puts a stop to that! ",would lov  uk kind put stop ,1,0
Can someome pretty please tell me who dies in desperate housewives i hope its not Bree van camp she's my fav ,someom pretty pleas tel die desp housew hop not bre van camp fav,0,1
Back to X's and O's tomorrow  http://yfrog.com/7gu5gj,back x   tomorrow,0,1
@Axelsrose ( I hafta redo mine  as you might have read in my lil update  ), haft redo min might hav read lil upd ,1,0
@Loubella next up........angel delight in ya life! omg!!! want some right now! craving penny turtles and strawberries also ,next    angel delight ya lif  omg    want som right  crav penny turtl strawberry also,1,0
getting ready to paint my bathroom cabinets ,get ready paint bathroom cabinet,1,0
@Qeabs i dont remember.. it was 3 or 4 i guess.. lama sudah.. ,dont remember    guess  lam sudah ,0,1
Out!  ... Missing the germans and bulgarians!,  miss germ bulg ,0,1
Writing another contract today   Prom for the twins tonight and a cancer fundraiser for Adrienne and I,writ anoth contract today prom twin tonight cant fundra adrien,0,1
"@simon_pollard Oh fuck, I forgot about that. Sorry Mr P. If you wish to end this friendship officially then I will post the papers to you ",oh fuck  forgot  sorry mr p wish end thi friend wil post pap,1,0
Hoping to see Wolverine this weekend...not for Hugh Jackman though...Daniel Henney's minor (but most probably wooden  role...,hop see wolverin thi weekend  not hugh jackm though  daniel henney  min  prob wood rol ,0,1
"@flipsideoftcoin Hhmmm, snugglage good... I'm good, I've been rather useless this weekend, catching up on sleep. Up at 5:30 am tommorrow ",hhmmm  snuggl good  good  hav rath useless thi weekend  catch sleep     tommorrow,1,0
Bow wows fans must be 15  aww damn @ ed mcmahon! Double ,bow wow fan must  aww damn ed mcmahon  doubl,1,0
"@KellyStanaj yeah, that's the one! ;) I really just hope Adam will tweet something already  @theRealGlambert come out and play?",yeah     real hop adam wil tweet someth already com play ,1,0
Really really hot out today. Will probably go swim (after I clean my room first  ),real real hot today  wil prob go swim  aft cle room first ,1,0
Oh the joys that are backing up Blackboard - why can't it be as simple as Moodle ,oh joy ar back blackboard  not simpl moodl,0,1
@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),oooooooo   im not neith becaus nee study ,1,0
@Ashley_HamlinNY why would they do that? I'm on team Eduardo!..I started his fan page on FB! ,would  team eduardo   start fan pag fb ,1,0
I just loooove when its cold in our house ,loooov cold hous,0,1
@ankita_gaba  Prt Screen take the screenshot of only the visible area. I wanted to take the long shot of whole web page.,prt screen tak screenshot vis  want tak long shot whol web pag ,0,1
@KermitLovin sounds good to me. not sure when I'll get a chance to though ,sound good  not sur wil get chant though,1,0
"hates the awkward pauses when u let the other car go, but they're letting u go. ",hat awkward paus u let oth car go  ar let u go ,0,1
"@scottFmurphy No, bits of leftover PopTarts from the kids' plates. ",no  bit leftov poptart kid  plat ,1,0
On my way home after a productive day of riding and merchandising ,way hom aft produc day rid merchand,0,1
squeaky clean ,squeaky cle,0,1
@merree2657 Right! It was ok but not what it used to be. New chef started 3 days ago. ,right  wa ok not us  new chef start  day ago ,1,0
It's too early for me.. really. Fed's match starts when I get back from school  lucky me.,ear  real  fed  match start get back school lucky ,0,1
is looking forward to riding her ponies today.....  it's been awhile!,look forward rid pony today   awhil ,0,1
At tam's wedding!! Gettin older and realizing &quot;my time e coming soon!!!&quot; ,tam  wed   gettin old real amp quot  tim e com soon    amp quot ,1,0
@coachkellum WAKE UP...WAKE UP. I need to yell @ you! JK.   Im sad you went paintballing &amp; to the beach w/o me. JERK.,wak  wak  nee yel  jk  im sad went paintbal amp amp  beach wo  jerk ,0,1
"@csiriano Hon, none of your pics are coming through   Is something wrong?",hon  non yo pic ar com someth wrong ,1,0
@cndboy HOT! I want a picture!!!! ,hot  want pict    ,0,1
Morning! It's a lovely day in Buellton. I don't want to leave ,morn  lov day buellton  not want leav,1,0
N:saw a really nice back to the future top today.I WANT IT!! and a star wars one that I REALLY WANT! ha  off to revise..1st exam tomorrow!,n  saw real nic back fut top todayi want   star war real want  ha revise  st exam tomorrow ,0,1
"I love south Texas! It's so hot, that's the truth. But I'm sad to be leaving (a little)! See you soon Bumble! ",lov sou texa  hot  tru  sad leav  littl   see soon bumbl ,0,1
@ztnewetnorb lol i can play them both  not on guitar tho,lol play not guit tho,0,1
@James_Waters Poor baby...I dont have to work till 2 ,poor baby  dont hav work til ,0,1
"@PhilBaumann  I just woke up and I the first thing I see is your post &quot;oh poopie about an idea blob?&quot;  Listen, stop calling me names! ",wok first thing see yo post amp quot  oh poop ide blob  amp quot  list  stop cal nam ,0,1
@caracakesxoxo thanks for the concern  nah.. no better.. need to wait till i can get a doctors appointment.. :/,thank concern nah  no better  nee wait til get doct appointment   ,0,1
"http://twitpic.com/6u3u5 - im UPSET  but when lifes not easy, pray ", im upset lif not easy  pray,0,1
back and now I am officially 20...i would have liked to stay in my teens ,back   would hav lik stay teen,0,1
"@shoewee We test them to death to prove that they are learning through testing. If naught else, they learn how to take tests. ",test dea prov ar learn test  naught els  learn tak test ,1,0
Kathy just stole free books. That reminded me of @mrfeeny89 and his wings. ,kathy stol fre book  remind wing ,1,0
@jonathanrknight LOL!  Hubs is on A-A-A-A-A-Advil due to the difficult workout I put him through today at the Y.  ,lol  hub aaaaaadvil due difficult workout put today ,0,1
"@brookmis lol. comps, non-transferable.  I think I have a pimp suite though...that may sway me.",lol  comp  nontransferable  think hav pimp suit though  may sway ,1,0
"@crazymokes I've done some silversmithing. Just remember if a piece of molten metal rolls on to the floor, don't grab it. I did this ",hav som silversmith  rememb piec molt met rol flo  not grab  thi,1,0
